	tSNE1	tSNE2
1001200615_D3	-8.901033	-60.243626
1001200615_D4	24.574335	11.590501
1001200615_D5	18.05396	14.444827
1001200615_D6	33.098213	13.255152
1001200615_E1	-13.907465	31.259739
1001200615_E2	34.955715	19.56932
1001200615_E3	24.70192	23.630943
1001200615_E4	18.159437	14.352091
1001200615_E5	19.829384	27.367891
1001200615_F1	-13.0425	30.487637
1001200615_F2	34.022236	24.613726
1001200615_F3	36.165997	20.449556
1001200615_F5	26.127913	-0.014988763
1001200615_G1	-13.187269	-35.33456
1001200615_G3	32.54377	15.143348
1001200615_G4	29.62268	25.290142
1001200615_G5	-10.387596	11.941269
1001200615_H1	14.026623	27.51095
1001200615_H2	34.37411	24.812908
1001200615_H3	7.944392	18.355452
1001200615_H4	24.458456	17.987465
1001200615_H5	19.987864	5.0124884
1001200617_A10	22.967077	29.269758
1001200617_A11	24.738802	9.039881
1001200617_A12	17.69721	19.18722
1001200617_A9	-1.5395162	-53.36782
