	tSNE1	tSNE2
1001200612_C5	43.991814	-15.32427
1001200612_C6	45.689808	-23.605421
1001200612_C7	36.32032	-33.891445
1001200612_D1	40.704216	-33.65786
1001200612_D10	23.400871	-10.270332
1001200612_D2	43.76339	-14.758495
1001200612_D3	40.08947	-6.9291077
1001200612_D4	43.2885	-17.762075
1001200612_D5	38.660614	-13.597048
1001200612_D6	19.157993	-22.091848
1001200612_D7	31.832415	-20.065216
1001200612_E10	-48.38848	31.238195
1001200612_E5	20.105299	-12.210103
1001200612_E6	42.62242	-25.01374
1001200612_E7	35.49474	-25.899937
1001200612_F1	36.71176	-26.84947
1001200612_F10	-29.701817	42.16336
1001200612_F2	38.62308	-34.130127
1001200612_F3	39.78065	-30.442219
1001200612_F4	44.984356	-27.127708
1001200612_F5	22.05885	-27.914583
1001200612_F6	43.177628	-18.350445
1001200612_F7	34.023354	-13.377595
1001200612_F9	-18.860674	-2.4636474
1001200612_G1	46.529133	-27.454126
1001200612_G10	25.620678	-9.889479
1001200612_G3	42.017673	-15.853341
1001200612_G4	41.914257	-27.03574
1001200612_G5	38.19588	-23.287745
1001200612_G6	44.11874	-25.255629
1001200612_G7	32.76053	-13.6432085
1001200612_G9	-31.373833	29.140728
1001200612_H1	36.5065	-28.8122
1001200612_H2	-33.2432	40.152412
1001200612_H3	-0.14000691	26.581144
1001200612_H4	42.802372	-30.557621
1001200612_H6	37.359905	-28.637005
1001200612_H7	39.766422	-33.53314
1001200612_H9	23.360567	-4.8338146
1001200614_A1	-14.653881	1.8214364
1001200614_A11	-4.8356876	-0.8009003
1001200614_A12	22.328484	-12.33304
1001200614_A2	-13.019705	-0.5037261
1001200614_A4	-23.863298	-8.955647
1001200614_A6	-2.885059	26.592642
1001200614_A7	-1.427123	28.323647
1001200614_A8	-38.562416	44.662952
1001200614_B1	-12.263634	0.022963163
1001200614_B10	-2.1056602	-5.2865763
1001200614_B11	0.99730957	-10.821272
1001200614_B2	-8.554145	0.08014755
1001200614_B3	-5.109701	25.959791
1001200614_B5	-4.6650686	3.480585
1001200614_B6	-30.300718	33.553013
1001200614_B7	-38.337395	41.06626
1001200614_B8	-0.41345534	28.12177
1001200614_B9	-7.960967	1.4586887
1001200614_C11	5.4651814	-14.108156
1001200614_C12	10.71734	-14.146973
1001200614_C2	-21.4496	-1.0392232
1001200614_C3	-2.6611235	-4.3922834
1001200614_C5	11.147454	-15.918965
1001200614_C6	-40.719933	39.120808
1001200614_C7	-39.868877	41.74136
1001200614_C8	-36.99228	45.22473
1001200614_C9	19.559107	-7.8052893
1001200614_D1	-12.714071	0.90436137
1001200614_D10	2.4160044	-14.168276
1001200614_D11	21.759663	-1.9952896
1001200614_D12	-1.6849432	-4.5257034
1001200614_D2	-5.525016	1.6911472
1001200614_D5	-17.084425	-3.991401
1001200614_D6	-5.5451984	25.964737
1001200614_D7	-0.82529956	26.848862
1001200614_D8	-48.993454	29.985008
